1.50294E+18,1000000,8/17/17,17395.16667,date,,balance,date,balance,,
1.51439E+18,693086.9764,,,12/24/17,657680.7754,1315361.551,12/24/17,1315361.551,,
1.51461E+18,641397.1616,,,12/27/17,693086.9764,1386173.953,12/27/17,1386173.953,,
1.51461E+18,642893.7197,,,12/30/17,641397.1616,1282794.323,12/30/17,1282794.323,,
1.51463E+18,636729.6592,,,12/30/17,642893.7197,1285787.439,12/30/17,1285787.439,,
1.51464E+18,633782.4443,,,12/30/17,636729.6592,1273459.318,12/30/17,1273459.318,,
1.51464E+18,622431.117,,,12/30/17,633782.4443,1267564.889,12/30/17,1267564.889,,
1.51464E+18,614845.0933,,,12/30/17,622431.117,1244862.234,12/30/17,1244862.234,,
1.51519E+18,797779.0205,,,12/30/17,614845.0933,1229690.187,12/30/17,1229690.187,,
1.51519E+18,801331.1149,,,1/5/18,797779.0205,1595558.041,1/5/18,1595558.041,,
1.51519E+18,787689.2472,,,1/5/18,801331.1149,1602662.23,1/5/18,1602662.23,,
1.51519E+18,792510.6295,,,1/5/18,787689.2472,1575378.494,1/5/18,1575378.494,,
1.5152E+18,794426.225,,,1/5/18,792510.6295,1585021.259,1/5/18,1585021.259,,
1.5152E+18,801907.3518,,,1/5/18,794426.225,1588852.45,1/5/18,1588852.45,,
1.51564E+18,959423.0554,,,1/5/18,801907.3518,1603814.704,1/5/18,1603814.704,,
1.51565E+18,929887.662,,,1/11/18,959423.0554,1918846.111,1/11/18,1918846.111,,
1.51565E+18,942472.1841,,,1/11/18,929887.662,1859775.324,1/11/18,1859775.324,,
1.51565E+18,983627.0803,,,1/11/18,942472.1841,1884944.368,1/11/18,1884944.368,,
1.5157E+18,948447.2811,,,1/11/18,983627.0803,1967254.161,1/11/18,1967254.161,,
1.51593E+18,1001622.745,,,1/11/18,948447.2811,1896894.562,1/11/18,1896894.562,,
1.51593E+18,973564.683,,,1/14/18,1001622.745,2003245.489,1/14/18,2003245.489,,
1.51594E+18,949423.5782,,,1/14/18,973564.683,1947129.366,1/14/18,1947129.366,,
1.51605E+18,978255.156,,,1/14/18,949423.5782,1898847.156,1/14/18,1898847.156,,
1.51639E+18,1036150.692,,,1/15/18,978255.156,1956510.312,1/15/18,1956510.312,,
1.51652E+18,974652.4355,,,1/19/18,1036150.692,2072301.385,1/19/18,2072301.385,,
1.51652E+18,958507.9457,,,1/21/18,974652.4355,1949304.871,1/21/18,1949304.871,,
1.51652E+18,965064.1914,,,1/21/18,958507.9457,1917015.891,1/21/18,1917015.891,,
1.51653E+18,954424.6249,,,1/21/18,965064.1914,1930128.383,1/21/18,1930128.383,,
1.51655E+18,960518.0143,,,1/21/18,954424.6249,1908849.25,1/21/18,1908849.25,,
1.51655E+18,957185.5818,,,1/21/18,960518.0143,1921036.029,1/21/18,1921036.029,,
1.51656E+18,952780.6786,,,1/21/18,957185.5818,1914371.164,1/21/18,1914371.164,,
1.51656E+18,952780.6786,,,1/21/18,952780.6786,1905561.357,1/21/18,1905561.357,,
1.51656E+18,959335.1456,,,1/21/18,952780.6786,1905561.357,1/21/18,1905561.357,,
1.51656E+18,962919.6705,,,1/21/18,959335.1456,1918670.291,1/21/18,1918670.291,,
